category_id,parent_id,name,breadcrumb
6467342,6467341,Kinder-Gartengeräte,Baby & Kind > Spielwaren > Kinder Spielwelten > Kinder-Gartengeräte
6467404,6467252,Kreativspielzeuge,Baby & Kind > Spielwaren > Kreativspielzeuge
6467405,6467404,3D Stifte,Baby & Kind > Spielwaren > Kreativspielzeuge > 3D Stifte
6467253,6467252,Musikinstrumente,Baby & Kind > Spielwaren > Musikinstrumente
6467254,6467253,Gitarren & Zubehör,Baby & Kind > Spielwaren > Musikinstrumente > Gitarren & Zubehör
6467349,6467254,Gitarren,Baby & Kind > Spielwaren > Musikinstrumente > Gitarren & Zubehör > Gitarren
6467350,6467349,Konzertgitarren,Baby & Kind > Spielwaren > Musikinstrumente > Gitarren & Zubehör > Gitarren > Konzertgitarren
6467255,6467254,Gitarrenzubehör,Baby & Kind > Spielwaren > Musikinstrumente > Gitarren & Zubehör > Gitarrenzubehör
6467256,6467255,Gitarren-Effekte,Baby & Kind > Spielwaren > Musikinstrumente > Gitarren & Zubehör > Gitarrenzubehör > Gitarren-Effekte
6406775,6406772,Wickeln & Baden,Baby & Kind > Wickeln & Baden
6406776,6406775,Wickelauflagen & Wickeltische,Baby & Kind > Wickeln & Baden > Wickelauflagen & Wickeltische
6406652,6406651,Auto-Kindersitze & Zubehör,Baby > Auto-Kindersitze & Zubehör
6406777,6406651,Badezubehör,Baby > Badezubehör
6406778,6406777,Kinderwaschbecken,Baby > Badezubehör > Kinderwaschbecken
6406779,6406651,Bettausstattung,Baby > Bettausstattung
6406780,6406779,Matratzenschoner & -auflagen,Baby > Bettausstattung > Matratzenschoner & -auflagen
6406781,6406651,Bücher & Zeitschriften,Baby > Bücher & Zeitschriften
6406782,6406781,Bücher,Baby > Bücher & Zeitschriften > Bücher
6406783,6406651,Ernährung,Baby > Ernährung
6406784,6406783,Kindergeschirr & -besteck,Baby > Ernährung > Kindergeschirr & -besteck
6407164,6406784,Kinderbesteck,Baby > Ernährung > Kindergeschirr & -besteck > Kinderbesteck
6406653,6406651,Kinderwagen & Zubehör,Baby > Kinderwagen & Zubehör
6407165,6406653,Kinderwagenzubehör,Baby > Kinderwagen & Zubehör > Kinderwagenzubehör
6407166,6407165,Sitzauflagen,Baby > Kinderwagen & Zubehör > Kinderwagenzubehör > Sitzauflagen
6406785,6406651,Möbel,Baby > Möbel
6406786,6406785,Laufgitter,Baby > Möbel > Laufgitter
6406654,6406651,Pflege,Baby > Pflege
6406787,6406651,Spielzeug,Baby > Spielzeug
6406788,6406787,Badespielzeug,Baby > Spielzeug > Badespielzeug
6406789,6406787,Holzspielzeug,Baby > Spielzeug > Holzspielzeug
6407167,0,Bad & Sanitär,Bad & Sanitär
6407168,6407167,Armaturen,Bad & Sanitär > Armaturen
6407169,6407168,Duscharmaturen,Bad & Sanitär > Armaturen > Duscharmaturen
6407170,6407169,Duschthermostate,Bad & Sanitär > Armaturen > Duscharmaturen > Duschthermostate
6407171,0,Bastel- & Künstlerbedarf,Bastel- & Künstlerbedarf
6407172,6407171,Künstler- & Zeichenbedarf,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf
6407173,6407172,Malen,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Malen
6407174,6407173,Aquarell,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Malen > Aquarell
6407175,6407172,Zeichnen,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Zeichnen
6407176,6407175,Farbstifte & Zeichenkohle,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Zeichnen > Farbstifte & Zeichenkohle
6407177,6407175,Pastell,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Zeichnen > Pastell
6406790,0,Baumarkt,Baumarkt
6406793,6406790,Bauelemente,Baumarkt > Bauelemente
6406791,6406790,Bauelemente & Treppen,Baumarkt > Bauelemente & Treppen
6406792,6406791,Revisionsklappen,Baumarkt > Bauelemente & Treppen > Revisionsklappen
6406794,6406793,Revision,Baumarkt > Bauelemente > Revision
