category_id;breadcrumb;count
261012;Garten & Terrasse > Motor-Gartengeräte & -zubehör > Kettensägen-Zubehör;1
4672;Handys & Kommunikation > Funktechnik > Antennen > Amateurfunkantennen;1
175736;Handys & Kommunikation > Funktechnik > Teile & Zubehör > Filter;1
20349;Handys & Kommunikation > Handy-Zubehör > Taschen & Schutzhüllen;1
260307;Haushaltsgeräte > Geschirrspülmaschinen;1
79656;Haushaltsgeräte > Kleingeräte Haushalt > Dampfreiniger;1
185033;Haushaltsgeräte > Kleingeräte Küche > Fritteusen;1
20614;Haushaltsgeräte > Staubsauger & Zubehör > Staubsauger;1
99697;Haushaltsgeräte > Waschmaschinen & Trockner > Waschmaschinen- & Trocknerteile;1
20754;Haustierbedarf > Fische & Aquarien;1
20740;Haustierbedarf > Katzen > Kratzbäume & Möbel;1
177784;Haustierbedarf > Katzen > Näpfe & Trinkbrunnen;1
260625;Heimwerker > Bad & Küche > Bad;1
29508;Heimwerker > Bad & Küche > Küche > Küchenarmaturen;1
41981;Heimwerker > Erneuerbare Energie > Solarenergie > Solarmodule;1
180981;Heimwerker > Farben, Tapeten & Zubehör > Tapeten, Werkzeuge & Zubehör;1
260457;Heimwerker > Heizen, Klima & Sanitär > Heizungs-, Klima- & Sanitärprüfgeräte > Rohrinstallations-Sets;1
260588;Heimwerker > Heizen, Klima & Sanitär > Wasser > Pumpen & Wasserfiltersysteme;1
259858;Heimwerker > Heizen, Klima & Sanitär > Wasser > Ventile;1
181067;Heimwerker > Schwimmbecken, Saunen & Außenwhirlpools > Schwimmbeckenbedarf;1
260176;Heimwerker > Werkzeuge > Elektrowerkzeug- & Druckluftgerät-Zubehör;1
42284;Heimwerker > Werkzeuge > Elektrowerkzeuge > Schleifmaschinen;1
3244;Heimwerker > Werkzeuge > Handwerkzeuge;1
39057;Heimwerker > Werkzeuge > Handwerkzeuge > Messer;1
20770;Heimwerker > Werkzeuge > Handwerkzeuge > Schraubenschlüssel;1
29525;Heimwerker > Werkzeuge > Messwerkzeuge & Messgeräte > Messschieber;1
45246;Kleidung & Accessoires > Damen > Damen-Accessoires > Sonnenbrillen & Zubehör > Sonnenbrillen;1
45333;Kleidung & Accessoires > Damen > Damenschuhe > Halbschuhe & Ballerinas;1
1059;Kleidung & Accessoires > Herren > Herrenmode;1
57990;Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > Freizeithemden & Shirts;1
11507;Kleidung & Accessoires > Herren > Herrenmode > Unterwäsche;1
11504;Kleidung & Accessoires > Herren > Herrenschuhe > Sandalen;1
11498;Kleidung & Accessoires > Herren > Herrenschuhe > Stiefel;1
