id,productId,inventoryId,status,message,createdAt
mm6BnkpOj5i4ijZNEAqu,8445866051810,85403,failed,"ENOENT: no such file or directory, open '/app/ebay/DE_New_Structure_(May2023).csv'","{""_seconds"":1765491905,""_nanoseconds"":695000000}"
mmTgZun4tEuCvZW6uM6L,4067983276613,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765734131,""_nanoseconds"":722000000}"
mqOvXezCgdU0tMAvFZ7a,beliani-side-table-28049-image-1,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765358597,""_nanoseconds"":359000000}"
mqSJkpc1hm6qSeyr77Se,4067897661963,85403,failed,"ENOENT: no such file or directory, open '/app/ebay/DE_New_Structure_(May2023).csv'","{""_seconds"":1765491942,""_nanoseconds"":840000000}"
mrXix0iXrcmNn2yHH3I1,KDF-5517DTW,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765759566,""_nanoseconds"":807000000}"
mt74KquQi8KfkP4hIsyM,6941123909198,85403,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492361,""_nanoseconds"":902000000}"
mtuCDgSwX8VSuRZq0Hyo,9014400001384,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765755424,""_nanoseconds"":864000000}"
mv0vxpAFoKbu4KpWqKkL,SKU-5037405516,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766090118,""_nanoseconds"":257000000}"
mwDWKp7nCtT7YTp9Heui,3cab2925-3136-4d57-b76a-c4ba5e886594,85404,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 20:12:15","{""_seconds"":1765479743,""_nanoseconds"":541000000}"
n1OHHzsbZty7wbCAU3DT,villa-grinario-spannbettuch-100x200-blau,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765044828,""_nanoseconds"":267000000}"
n7Mtg3c0fyPlnbLPXLB3,SKU-0152828115,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766154844,""_nanoseconds"":942000000}"
n7SgNHga9INAyDAbk20z,5900495862228,85403,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492461,""_nanoseconds"":32000000}"
nDanOi6W3pt0BA8CuiA4,2060004998275,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765724564,""_nanoseconds"":489000000}"
nExXCteOjLr8LHcqu8ae,alpinefun-holzschlitten,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765755887,""_nanoseconds"":952000000}"
nJ6vUoBSwtlNrhjfR34T,5900495862228,85404,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492509,""_nanoseconds"":501000000}"
nLbEs9R741OGMMhh0yuO,SKU-4434702791,78659,failed,BaseLinker request failed after retries,"{""_seconds"":1766085964,""_nanoseconds"":561000000}"
