id,ean,productId,updated_at,baseProductId,sku
ean:1657579165751,1657579165751,SKU-0000524938,2025-12-18T18:20:51.580Z,462089163,SKU-0000524938
ean:195166279855,195166279855,2074133001002,2025-12-21T17:48:47.255Z,465111103,SKU-0922374624
ean:196852765508,196852765508,SKU-4358173575,2025-12-21T17:30:19.625Z,465074749,SKU-4358173575
ean:20001500,20001500,KDF-5517DTW,2025-12-15T00:46:06.750Z,449823262,SKU-3093460977
ean:20210522000074,20210522000074,SKU-0152828115,2025-12-21T17:17:37.229Z,463191244,SKU-0152828115
ean:2230510001022,2230510001022,SKU-0974179694,2025-12-21T17:19:42.900Z,462089960,SKU-0974179694
ean:3168430357914,3168430357914,SKU-5814356347,2025-12-18T20:39:48.340Z,462239039,SKU-5814356347
ean:3306437238014,3306437238014,SKU-0411747828,2025-12-17T11:26:46.088Z,458462471,SKU-0411747828
ean:3306437248600,3306437248600,9900201693232,2025-12-14T23:37:07.322Z,458477182,SKU-3086033338
ean:3346130009603,3346130009603,SKU-3818412905,2025-12-24T19:14:56.213Z,458453067,SKU-3818412905
ean:3700703935148,3700703935148,449821560,2025-12-15T00:31:14.917Z,449821560,SKU-9834509499
ean:3800235261590,3800235261590,SKU-1066852367,2025-12-17T11:26:20.581Z,458467745,SKU-1066852367
ean:4000530351531,4000530351531,SKU-0058749943,2025-12-21T17:16:34.302Z,463190152,SKU-0058749943
ean:4000530650139,4000530650139,4000530650139,2025-12-14T17:21:45.121Z,458401529,SKU-4349960147
ean:4000530685841,4000530685841,SKU-2152217706,2025-12-18T18:52:12.739Z,459794734,SKU-2152217706
ean:4002541707024,4002541707024,SKU-4304000683,2025-12-21T17:28:52.666Z,458467756,SKU-4304000683
ean:4003318551383,4003318551383,SKU-9335260557,2025-12-21T17:34:49.681Z,465085198,SKU-9335260557
ean:4003318877841,4003318877841,SKU-3047799035,2025-12-21T17:34:47.026Z,465085103,SKU-3047799035
ean:4003773087571,4003773087571,SKU-8236064906,2025-12-21T17:45:19.076Z,465105467,SKU-8236064906
ean:4004133669093,4004133669093,4004133669093,2025-12-21T17:49:51.297Z,465112797,SKU-0200958470
ean:4006387029807,4006387029807,4006387029807,2025-12-21T17:46:52.233Z,465107999,SKU-5978798764
ean:4006825642452,4006825642452,4006825642452,2025-12-16T23:05:50.595Z,459737337,SKU-0522930788
ean:4006885305106,4006885305106,SKU-0974179694,2025-12-19T15:24:54.520Z,462089960,SKU-0974179694
ean:4007386251480,4007386251480,4007386251480,2025-12-14T23:24:38.866Z,449821110,SKU-9627368343
ean:4009384341071,4009384341071,4009384341071,2025-12-21T19:40:15.052Z,465272140,SKU-2859032659
ean:4009384458304,4009384458304,4009384458304,2025-12-21T19:47:32.604Z,465280625,SKU-4401248629
ean:4009839270970,4009839270970,SKU-1825816304,2025-12-21T17:39:26.123Z,462110860,SKU-1825816304
ean:4010886516256,4010886516256,4010886516256,2025-12-21T17:46:52.309Z,465108003,SKU-0963183292
ean:4011558327507,4011558327507,SKU-2690684566,2025-12-21T17:38:55.475Z,465094422,SKU-2690684566
ean:4011739058220,4011739058220,alpinefun-holzschlitten,2025-12-14T23:44:47.864Z,449823462,SKU-5633394973
ean:4013236393873,4013236393873,SKU-7209250640,2025-12-21T19:48:36.858Z,465281863,SKU-7209250640
ean:4013288165657,4013288165657,3cab2925-3136-4d57-b76a-c4ba5e886594,2025-12-14T23:19:53.615Z,458453071,057909
ean:4013288220592,4013288220592,SKU-1612836881,2025-12-21T17:28:25.621Z,462092417,SKU-1612836881
ean:4013556577007,4013556577007,4013556577007,2025-12-21T03:48:45.970Z,464298782,SKU-5410787453
ean:4013556577076,4013556577076,4013556577076,2025-12-21T03:48:46.668Z,464298793,SKU-2724878095
ean:4013556577120,4013556577120,4013556577120,2025-12-21T17:12:22.051Z,464298807,SKU-7700165856
ean:4013556577144,4013556577144,4013556577144,2025-12-21T17:12:22.692Z,464298809,SKU-0139597304
ean:4013556592796,4013556592796,4013556592796,2025-12-21T17:39:25.950Z,464298810,SKU-5928571392
ean:4014701024414,4014701024414,SKU-3783198734,2025-12-21T17:40:47.256Z,462181816,SKU-3783198734
ean:4016417025303,4016417025303,4016417025303,2025-12-21T17:49:51.628Z,465112806,SKU-3586300359
ean:4016711018766,4016711018766,56cdbf05-ce59-43c9-be15-6cc63c6dae93,2025-12-21T17:13:25.675Z,464035688,SKU-0874304411
ean:4023103244009,4023103244009,4023103244009,2025-12-21T19:40:15.728Z,465272159,SKU-9885764249
ean:4033592047524,4033592047524,SKU-5780092798,2025-12-21T17:44:12.797Z,462237005,SKU-5780092798
ean:4045516002427,4045516002427,d26c1381-e411-4bd2-a9fd-fdd8e408a28a,2025-12-21T18:56:46.193Z,465217929,SKU-3178068699
ean:4047059413104,4047059413104,4047059413104,2025-12-21T19:40:15.632Z,465272155,SKU-6068074259
ean:4049011166479,4049011166479,SKU-1961998362,2025-12-21T17:39:26.435Z,465038138,SKU-1961998362
ean:4050297119295,4050297119295,SKU-7245071607,2025-12-21T17:44:01.418Z,465103318,SKU-7245071607
ean:4052212121253,4052212121253,4052212121253,2025-12-15T00:02:19.324Z,458456175,SKU-2384085318
ean:4053479285122,4053479285122,4053479285122,2025-12-21T19:41:19.759Z,465273410,SKU-0534200636
ean:4053757472206,4053757472206,SKU-8843412443,2025-12-21T17:45:11.714Z,465105281,SKU-8843412443
ean:4057993570030,4057993570030,4057993570030,2025-12-14T23:29:51.675Z,449821953,SKU-9787450821
ean:4058473411560,4058473411560,SKU-3210037840,2025-12-21T17:40:49.860Z,465097958,SKU-3210037840
ean:4059625316207,4059625316207,SKU-3734657776,2025-12-18T19:30:09.339Z,459736332,SKU-3734657776
ean:4061474039602,4061474039602,brandson-wdp-301480,2025-12-14T23:46:31.914Z,449825783,SKU-2789683373
ean:4061474124438,4061474124438,SKU-7350795017,2025-12-21T17:44:01.673Z,465103326,SKU-7350795017
ean:4062861006757,4062861006757,brandson-windmaschine-30cm-unknown-ean,2025-12-14T23:46:32.613Z,449826140,SKU-2621538468
ean:4063217299953,4063217299953,4063217299953,2025-12-21T17:46:51.949Z,465107989,SKU-4885995332
ean:4064666043425,4064666043425,SKU-1782951292,2025-12-22T09:36:24.328Z,462106849,SKU-1782951292
ean:4064700023765,4064700023765,SKU-4607569519,2025-12-21T17:42:07.652Z,465100160,SKU-4607569519
ean:4065464002256,4065464002256,SKU-2019125675,2025-12-21T17:41:08.070Z,462106216,SKU-2019125675
ean:4066748539567,4066748539567,SKU-0114729665,2025-12-17T11:26:45.478Z,458456583,SKU-0114729665
ean:4067983135699,4067983135699,SKU-3368481451,2025-12-17T02:31:56.725Z,458974976,SKU-3368481451
ean:4069092282370,4069092282370,4069092282370,2025-12-21T19:41:20.375Z,465273421,SKU-8382768165
ean:4099685332441,4099685332441,SKU-9436640030,2025-12-22T15:48:38.233Z,458974981,SKU-9436640030
ean:4099983384487,4099983384487,SKU-8380347833,2025-12-17T00:33:10.560Z,458456918,SKU-8380347833
ean:4242003870525,4242003870525,SKU-5701110636,2025-12-21T17:44:16.354Z,465103746,SKU-5701110636
ean:4250153617556,4250153617556,4250153617556,2025-12-21T19:42:24.858Z,465274650,SKU-4649569251
ean:4250278616342,4250278616342,SKU-1181918814,2025-12-21T17:25:46.635Z,462091600,SKU-1181918814
ean:4250362479310,4250362479310,SKU-0236764953,2025-12-21T17:18:40.176Z,463235479,SKU-0236764953
ean:4250454729170,4250454729170,4250454729170,2025-12-21T19:42:25.193Z,465274659,SKU-1784585629
ean:4251249417357,4251249417357,SKU-9979752242,2025-12-21T19:50:45.126Z,465284299,SKU-9979752242
ean:4251307247216,4251307247216,SKU-5842899450,2025-12-21T17:30:40.562Z,462241974,SKU-5842899450
ean:4251887649042,4251887649042,SKU-5037405516,2025-12-21T17:44:12.882Z,462237006,SKU-5037405516
ean:4251897512916,4251897512916,4251897512916,2025-12-14T23:32:35.576Z,449821521,SKU-6558668236
ean:4255700108594,4255700108594,SKU-4820097368,2025-12-21T03:48:49.714Z,449821480,SKU-4820097368
ean:4260325431309,4260325431309,4260325431309,2025-12-14T23:33:27.953Z,458459208,SKU-2561166298
