category_id,parent_id,name,breadcrumb
6530269,6527277,Speedmodellautos/Tether Cars,Modellbau > RC-Modellbau > Speedmodellautos/Tether Cars
6527278,6526926,Rennbahnen & Slotcars,Modellbau > Rennbahnen & Slotcars
6530270,6527278,Autos,Modellbau > Rennbahnen & Slotcars > Autos
6535831,6530270,Carrera 124,Modellbau > Rennbahnen & Slotcars > Autos > Carrera 124
6535832,6530270,Carrera 132,Modellbau > Rennbahnen & Slotcars > Autos > Carrera 132
6535833,6530270,Carrera 160,Modellbau > Rennbahnen & Slotcars > Autos > Carrera 160
6535834,6530270,Carrera Evolution,Modellbau > Rennbahnen & Slotcars > Autos > Carrera Evolution
6535835,6530270,Carrera Exclusiv,Modellbau > Rennbahnen & Slotcars > Autos > Carrera Exclusiv
6535837,6530270,Carrera Profi,Modellbau > Rennbahnen & Slotcars > Autos > Carrera Profi
6535838,6530270,Carrera Servo,Modellbau > Rennbahnen & Slotcars > Autos > Carrera Servo
6535839,6530270,Faller AMS,Modellbau > Rennbahnen & Slotcars > Autos > Faller AMS
6535840,6530270,Faller HitCar,Modellbau > Rennbahnen & Slotcars > Autos > Faller HitCar
6535841,6530270,Fleischmann,Modellbau > Rennbahnen & Slotcars > Autos > Fleischmann
6535842,6530270,Fly,Modellbau > Rennbahnen & Slotcars > Autos > Fly
6535843,6530270,Märklin Sprint,Modellbau > Rennbahnen & Slotcars > Autos > Märklin Sprint
6535844,6530270,Ninco,Modellbau > Rennbahnen & Slotcars > Autos > Ninco
6535845,6530270,Parma,Modellbau > Rennbahnen & Slotcars > Autos > Parma
6535846,6530270,Scalextric,Modellbau > Rennbahnen & Slotcars > Autos > Scalextric
6535847,6530270,SCX,Modellbau > Rennbahnen & Slotcars > Autos > SCX
6535848,6530270,Sonstige,Modellbau > Rennbahnen & Slotcars > Autos > Sonstige
6535849,6530270,Stabo,Modellbau > Rennbahnen & Slotcars > Autos > Stabo
6530271,6527278,Bahnen,Modellbau > Rennbahnen & Slotcars > Bahnen
6535850,6530271,Komplettsets,Modellbau > Rennbahnen & Slotcars > Bahnen > Komplettsets
6539124,6535850,Carrera,Modellbau > Rennbahnen & Slotcars > Bahnen > Komplettsets > Carrera
6539125,6535850,Ninco,Modellbau > Rennbahnen & Slotcars > Bahnen > Komplettsets > Ninco
6539126,6535850,Scalextric,Modellbau > Rennbahnen & Slotcars > Bahnen > Komplettsets > Scalextric
6539127,6535850,Sonstige,Modellbau > Rennbahnen & Slotcars > Bahnen > Komplettsets > Sonstige
6535851,6530271,Streckenteile,Modellbau > Rennbahnen & Slotcars > Bahnen > Streckenteile
6539128,6535851,Carrera,Modellbau > Rennbahnen & Slotcars > Bahnen > Streckenteile > Carrera
6539941,6539128,124 / Exclusiv / Evolution,Modellbau > Rennbahnen & Slotcars > Bahnen > Streckenteile > Carrera > 124 / Exclusiv / Evolution
6539942,6539128,132 Universal,Modellbau > Rennbahnen & Slotcars > Bahnen > Streckenteile > Carrera > 132 Universal
6539943,6539128,160,Modellbau > Rennbahnen & Slotcars > Bahnen > Streckenteile > Carrera > 160
6539944,6539128,Servo,Modellbau > Rennbahnen & Slotcars > Bahnen > Streckenteile > Carrera > Servo
6539129,6535851,Ninco,Modellbau > Rennbahnen & Slotcars > Bahnen > Streckenteile > Ninco
6539130,6535851,Scalextric,Modellbau > Rennbahnen & Slotcars > Bahnen > Streckenteile > Scalextric
6539131,6535851,Sonstige,Modellbau > Rennbahnen & Slotcars > Bahnen > Streckenteile > Sonstige
6530272,6527278,Sonstige,Modellbau > Rennbahnen & Slotcars > Sonstige
6530273,6527278,Trafos & Regler,Modellbau > Rennbahnen & Slotcars > Trafos & Regler
6530274,6527278,Zubehör & Tuning,Modellbau > Rennbahnen & Slotcars > Zubehör & Tuning
6527279,6526926,Spezielle Anlässe,Modellbau > Spezielle Anlässe
6530275,6527279,Sonstige,Modellbau > Spezielle Anlässe > Sonstige
6526928,0,Musik,Musik
6527280,6526928,Audio-Media-Zubehör,Musik > Audio-Media-Zubehör
6530276,6527280,Teppich- & Teppichbodenwerkzeuge,Musik > Audio-Media-Zubehör > Teppich- & Teppichbodenwerkzeuge
6527282,6526928,CDs,Musik > CDs
6530277,6527282,Teppich- & Teppichbodenwerkzeuge,Musik > CDs > Teppich- & Teppichbodenwerkzeuge
6527283,6526928,Fanartikel & Merchandise,Musik > Fanartikel & Merchandise
6530278,6527283,Aufkleber & Sticker,Musik > Fanartikel & Merchandise > Aufkleber & Sticker
6530280,6527283,Aufnäher,Musik > Fanartikel & Merchandise > Aufnäher
6530282,6527283,Bettwäsche,Musik > Fanartikel & Merchandise > Bettwäsche
6530283,6527283,Buttons & Pins,Musik > Fanartikel & Merchandise > Buttons & Pins
6530284,6527283,Caps & Mützen,Musik > Fanartikel & Merchandise > Caps & Mützen
6530286,6527283,Fahnen,Musik > Fanartikel & Merchandise > Fahnen
6530288,6527283,Fotos,Musik > Fanartikel & Merchandise > Fotos
6530289,6527283,Girlie-Shirts,Musik > Fanartikel & Merchandise > Girlie-Shirts
6530290,6527283,Jacken,Musik > Fanartikel & Merchandise > Jacken
6530291,6527283,Kalender,Musik > Fanartikel & Merchandise > Kalender
