bl_product_id;bl_sku;bl_name;bl_manufacturer;avy_product_id;avy_sku;avy_name;avy_brand;match_source;title_match;brand_match
493966547;SKU-0606185267;PME Legend Herren Cargohose Olivgrün Stretch Twill PTR2408602-6416;PME Legend;8720672457583;SKU-0606185267;PME Legend Herren Cargohose Olivgrün Stretch Twill PTR2408602-6416;PME Legend;ops.product_id;yes;yes
493969717;SKU-2215117275;PME Legend Herren Cargohose Travertine Gr. W32 L32 Stretch Twill;PME Legend;8720672457606;SKU-2215117275;PME Legend Herren Cargohose Travertine Gr. W32 L32 Stretch Twill;PME Legend;ops.product_id;yes;yes
493970493;SKU-2693030055;Adidas Unisex Jogginghose Lila Gr. 2xS Baumwollmischung IY9636;Adidas;f34aeded-183f-461f-8b6d-f899c863bddb;SKU-2693030055;Adidas Unisex Jogginghose Lila Gr. 2xS Baumwollmischung IY9636;Adidas;ops.product_id;yes;yes
493970758;SKU-2808592829;PME Legend Herren Cargohose Olive Night Gr. W36 L34 Stretch Twill;PME Legend;8720672457736;SKU-2808592829;PME Legend Herren Cargohose Olive Night Gr. W36 L34 Stretch Twill;PME Legend;ops.product_id;yes;yes
493971485;SKU-3102719705;PME LEGEND Herren Poloshirt Dunkelblau Gr.xL 100% Baumwolle;PME Legend;8720672452151;SKU-3102719705;PME LEGEND Herren Poloshirt Dunkelblau Gr.xL 100% Baumwolle;PME LEGEND;ops.product_id;yes;yes
493973434;SKU-4129459884;PME LEGEND Herren Poloshirt Blau Gr.xL Baumwolle;PME Legend;8720672452274;SKU-4129459884;PME LEGEND Herren Poloshirt Blau Gr.xL Baumwolle;PME LEGEND;ops.product_id;yes;yes
493973542;SKU-4271597760;PME Legend Herren Cargohose Travertine Gr. W33 L34 Stretch Twill;PME Legend;8720672457705;SKU-4271597760;PME Legend Herren Cargohose Travertine Gr. W33 L34 Stretch Twill;PME Legend;ops.product_id;yes;yes
493973829;SKU-4465818458;PME LEGEND Herren Poloshirt Dunkelblau Gr. L 100% Baumwolle Piqué;PME Legend;8720672452144;SKU-4465818458;PME LEGEND Herren Poloshirt Dunkelblau Gr. L 100% Baumwolle Piqué;PME LEGEND;ops.product_id;yes;yes
493974113;SKU-4645470868;PME LEGEND Herren Poloshirt Dunkelblau Gr.xxL 100% Baumwolle;PME Legend;8720672452281;SKU-4645470868;PME LEGEND Herren Poloshirt Dunkelblau Gr.xxL 100% Baumwolle;PME LEGEND;ops.product_id;yes;yes
493975036;SKU-4862349606;PME LEGEND Herren Poloshirt Dunkelblau Gr.xxL Baumwolle;PME Legend;8720672452168;SKU-4862349606;PME LEGEND Herren Poloshirt Dunkelblau Gr.xxL Baumwolle;PME LEGEND;ops.product_id;yes;yes
493975264;SKU-4906689601;PME LEGEND Herren Poloshirt Blau Gr. L 100% Baumwolle;PME Legend;8720672452267;SKU-4906689601;PME LEGEND Herren Poloshirt Blau Gr. L 100% Baumwolle;PME LEGEND;ops.product_id;yes;yes
493976051;SKU-5198272869;Street One Damen Pullover Anthrazit Gr. EUR 44-48 Textil Unbekannt;Street One;ad41bd2c-b32b-4f84-8e10-70a3933b51e6;SKU-5198272869;Street One Damen Pullover Anthrazit Gr. EUR 44-48 Textil Unbekannt;Street One;ops.product_id;yes;yes
493978215;SKU-6508368269;PME Legend Cargohose PTR2408602-6416 Herren Gr. W33 L32 Stretch Twill;PME Legend;8720672457613;SKU-6508368269;PME Legend Cargohose PTR2408602-6416 Herren Gr. W33 L32 Stretch Twill;PME Legend;ops.product_id;yes;yes
493979194;SKU-7167329167;PME Legend Herren Cargohose Olive Night Gr. W34 L34 Stretch Twill;PME Legend;8720672457712;SKU-7167329167;PME Legend Herren Cargohose Olive Night Gr. W34 L34 Stretch Twill;PME Legend;ops.product_id;yes;yes
493979932;SKU-7739152864;PME Legend Herren Cargohose Travertine Gr. W31 L34 Stretch Twill;PME Legend;8720672457682;SKU-7739152864;PME Legend Herren Cargohose Travertine Gr. W31 L34 Stretch Twill;PME Legend;ops.product_id;yes;yes
493982185;SKU-8896806933;PME LEGEND Herren Poloshirt Blau Gr. M;PME Legend;8720672452250;SKU-8896806933;PME LEGEND Herren Poloshirt Blau Gr. M;PME LEGEND;ops.product_id;yes;yes
493982312;SKU-8923961743;PME Legend Herren Cargohose Olivgrün Gr. W31 L32 Baumwolle PTR2408602-6416;PME Legend;8720672457590;SKU-8923961743;PME Legend Herren Cargohose Olivgrün Gr. W31 L32 Baumwolle PTR2408602-6416;PME Legend;ops.product_id;yes;yes
493982950;SKU-9245031381;PME LEGEND Herren Poloshirt Dunkelblau Gr. M;PME Legend;8720672452137;SKU-9245031381;PME LEGEND Herren Poloshirt Dunkelblau Gr. M;PME LEGEND;ops.product_id;yes;yes
493983365;SKU-9495443556;PME Legend Herren Cargohose Olivgrün Gr. W36 L32 98% Baumwolle 2% Elasthan;PME Legend;8720672457644;SKU-9495443556;PME Legend Herren Cargohose Olivgrün Gr. W36 L32 98% Baumwolle 2% Elasthan;PME Legend;ops.product_id;yes;yes
493983383;SKU-9543142444;PME Legend Erwachsene Cargohose Olivgrün Gr. W34 L32 Stretch Twill;PME Legend;8720672457620;SKU-9543142444;PME Legend Erwachsene Cargohose Olivgrün Gr. W34 L32 Stretch Twill;PME Legend;ops.product_id;yes;yes
493983636;SKU-9703955339;PME Legend Herren Polo Shirt bone white melee Gr.xxL Baumwolle 2547-SSP;PME Legend;8720672543033;SKU-9703955339;PME Legend Herren Polo Shirt bone white melee Gr.xxL Baumwolle 2547-SSP;PME Legend;ops.product_id;yes;yes
497025814;SKU-8529737282;Boland Poncho Damen Gr. Einheitsgröße 100% Polyester Braun;Boland;8712026440952;SKU-8529737282;Boland Poncho Damen Gr. Einheitsgröße 100% Polyester Braun;Boland;ops.product_id;yes;yes
497952264;SKU-9247228090;Sodafixx CO2 Zylinder;SodaStream;2d1365d3-cea9-4187-8daa-ea7ed01bf2a2;SKU-9247228090;Sodastream CO2 Zylinder Schnellverschluss 60 Liter Sprudelwasser;Sodastream;ops.product_id;no;yes
499980912;SKU-4846246443;Quooker CO2-Zylinder;Quooker;0250237001502;SKU-4846246443;Quooker CO2-Zylinder;Quooker;ops.product_id;yes;yes
499981015;SKU-4138606905;Stradivarius Damen Hose Schwarz Lederimitat 4565/664/001;Stradivarius;0456566400136;SKU-4138606905;Stradivarius Damen Hose Schwarz Lederimitat 4565/664/001;Stradivarius;ops.product_id;yes;yes
499981058;SKU-3166809997;FIRE+ICE Wintersportler Wintersporthose Schwarz Gr. M;FIRE+ICE;0562769421460;SKU-3166809997;FIRE+ICE Wintersportler Wintersporthose Schwarz Gr. M;FIRE+ICE;ops.product_id;yes;yes
499981089;SKU-1736818518;Philips Heißluftfritteuse Rapid Air 6.2 Liter;Philips;0652ed9b-7af0-4390-809b-ab3ae8a75fdd;SKU-1736818518;Philips Heißluftfritteuse Rapid Air 6.2 Liter;Philips;ops.product_id;yes;yes
499981363;SKU-9143128563;LINDENMANN Herren Gürtel Dunkelbraun Gr. 135cm Büffelleder;LINDENMANN;1004393023135;SKU-9143128563;LINDENMANN Herren Gürtel Dunkelbraun Gr. 135cm Büffelleder;LINDENMANN;ops.product_id;yes;yes
499981441;SKU-1000000000;Under Armour Herren T-Shirt Schwarz/Graphit Gr.xL Polyester 1326413;Under Armour;12192006315063;SKU-1000000000;Under Armour Herren T-Shirt Schwarz/Graphit Gr.xL Polyester 1326413;Under Armour;ops.product_id;yes;yes
499981734;SKU-1000000001;Shimano Radsport Naben HB-RM35;Shimano;19303435363740;SKU-1000000001;Shimano Radsport Naben HB-RM35;Shimano;ops.product_id;yes;yes
499982507;SKU-3867423041;Unbekannt Damen BH Hautfarben Synthetikmischung 63189;;36f71981-e45d-478a-a80d-4e665f0e3352;SKU-3867423041;Unbekannt Damen BH Hautfarben Synthetikmischung 63189;Unbekannt;ops.product_id;yes;no
499982613;SKU-0000608676;Maison Close Damen String Taupe Tüll (Polyamid Elasthan 608676;Maison Close;3700436086780;SKU-0000608676;Maison Close Damen String Taupe Tüll (Polyamid Elasthan 608676;Maison Close;ops.product_id;yes;yes
499982615;SKU-0000560248;Maison Close Triangle BH 560248 Damen Gr. S 85% Polyamid 15% Elasthan;Maison Close;3701425602462;SKU-0000560248;Maison Close Triangle BH 560248 Damen Gr. S 85% Polyamid 15% Elasthan;Maison Close;ops.product_id;yes;yes
499982788;SKU-8897137065;VEVOR Standheizung für Wohnmobil LKW Boot mit 5L TankxMZ-D1 VEVORxMZ-D1V;VEVOR;3f1a8ee4-8e40-4f90-af9a-deade528551c;SKU-8897137065;VEVOR Standheizung für Wohnmobil LKW Boot mit 5L TankxMZ-D1 VEVORxMZ-D1V;VEVOR;ops.product_id;yes;yes
499983188;SKU-1523043917;SCHIESSER Herren Boxershorts Schwarz Petrol Lime Aubergine Gr. M 180194-919;SCHIESSER;4007066810273;SKU-1523043917;SCHIESSER Herren Boxershorts Schwarz Petrol Lime Aubergine Gr. M 180194-919;SCHIESSER;ops.product_id;yes;yes
499983338;SKU-4586382771;Hailo Einbau-Abfallsammler 251mm;Hailo;4007126366610;SKU-4586382771;Hailo Einbau-Abfallsammler 251mm;Hailo;ops.product_id;yes;yes
499985127;SKU-1000000002;Urban Classics Damen Leggings Schwarz Gr. S Baumwolle TB3216-20007;Urban Classics;4053838528228;SKU-1000000002;Urban Classics Damen Leggings Schwarz Gr. S Baumwolle TB3216-20007;Urban Classics;ops.product_id;yes;yes
499985156;SKU-9881775692;Killtec Erwachsene Skihose Schwarz Gr.xL Polyester 30920 000 00925;Killtec;4061393249854;SKU-9881775692;Killtec Erwachsene Skihose Schwarz Gr.xL Polyester 30920 000 00925;Killtec;ops.product_id;yes;yes
499985855;SKU-2424861616;Gartenmöbel-Set Polyrattan Outdoor Garten Terrasse Balkon;RAGNARÖK;43422328612861;SKU-2424861616;Gartenmöbel-Set Polyrattan Outdoor Garten Terrasse Balkon;RAGNARÖK;ops.product_id;yes;yes
499986360;SKU-1000000009;TOM TAILOR Damen Flechtgürtel Schwarz Gr. 85/32 Leder;TOM TAILOR;d7fe958d-e961-4da4-841c-056d2d07081f;SKU-1000000009;TOM TAILOR Damen Flechtgürtel Schwarz Gr. 85/32 Leder;TOM TAILOR;ops.product_id;yes;yes
499986442;SKU-1536365981;Universal Backform Einsatz Silikon Schwarz;Universal;ea75ec18-8ebd-4623-8b72-bdc796af7bfb;SKU-1536365981;Universal Backform Einsatz Silikon Schwarz;Universal;ops.product_id;yes;yes
499986495;SKU-1000000010;Calvin Klein String Tanga 000QD5209E NPA Damen Gr. L Baumwolle;Calvin Klein;e8f548b0-5b46-488a-8ea9-b525f6381ab2;SKU-1000000010;Calvin Klein String Tanga 000QD5209E NPA Damen Gr. L Baumwolle;Calvin Klein;ops.product_id;yes;yes
499986878;SKU-9039614531;FOx Windschutz CCW004;FOX;5055350245538;SKU-9039614531;FOx Windschutz CCW004;FOx;ops.product_id;yes;yes
499986916;SKU-1000000004;Bench Herren Kurzarmhemd Weiß Gr. M 100% Baumwolle SE24EN31239;Bench;5059556377703;SKU-1000000004;Bench Herren Kurzarmhemd Weiß Gr. M 100% Baumwolle SE24EN31239;Bench;ops.product_id;yes;yes
499986923;SKU-1000000003;Bench Herren Jeans Dunkelblau Gr. W34 L34 Baumwollmischung;Bench;5059556144763;SKU-1000000003;Bench Herren Jeans Dunkelblau Gr. W34 L34 Baumwollmischung;Bench;ops.product_id;yes;yes
499987026;SKU-1000000005;Bench Herren Hemd Marineblau Gr. S Baumwolle EN31238;Bench;5059556377758;SKU-1000000005;Bench Herren Hemd Marineblau Gr. S Baumwolle EN31238;Bench;ops.product_id;yes;yes
499987105;SKU-4817360056;Adidas UnisexKinder T-Shirt Grün Gr. 158 IY7431;Adidas;52c25fb6-2f7a-48b8-8f85-430a36f26fae;SKU-4817360056;Adidas UnisexKinder T-Shirt Grün Gr. 158 IY7431;Adidas;ops.product_id;yes;yes
499987258;SKU-0196260000;Levi's Damen Jeans Schwarz Denim;Levi's;5400898678865;SKU-0196260000;Levi's Damen Jeans Schwarz Denim;Levi's;ops.product_id;yes;yes
499987799;SKU-1000000006;ONLY SONS Herren Jeansjacke Medium Blue Gr. L Baumwollmischung 22024333;ONLY & SONS;5715313967852;SKU-1000000006;ONLY SONS Herren Jeansjacke Medium Blue Gr. L Baumwollmischung 22024333;ONLY & SONS;ops.product_id;yes;yes
499988387;SKU-6860111834;Qunsheng Haushaltshandschuhe Rot Gelb 61921411800024;Qunsheng;61921411800024;SKU-6860111834;Qunsheng Haushaltshandschuhe Rot Gelb 61921411800024;Qunsheng;ops.product_id;yes;yes
499989221;SKU-0015305033;SodaStream Kohlensäurezylinder 4er Pack DUO Terra Crystal 3.0 NEU;SodaStream;7319f91f-5656-490e-bdfa-0aa526b0a9d1;SKU-0015305033;SodaStream Kohlensäurezylinder 4er Pack DUO Terra Crystal 3.0;SodaStream;ops.product_id;no;yes
499989311;SKU-1000000007;GANT Herren Hemd Capri Blau Gr. L Popeline 2423000714;GANT;7325707913594;SKU-1000000007;GANT Herren Hemd Capri Blau Gr. L Popeline 2423000714;GANT;ops.product_id;yes;yes
499990525;SKU-1000000008;Calzedonia Damen Leggings Schwarz Gr. S/M Microfaser MODP0035;Calzedonia;8033805473085;SKU-1000000008;Calzedonia Damen Leggings Schwarz Gr. S/M Microfaser MODP0035;Calzedonia;ops.product_id;yes;yes
499991432;SKU-4500500397;TOMMY JEANS Damen Zip-Off Cargo Hose Faded Willow Gr. S Nylon;TOMMY JEANS;8720644940723;SKU-4500500397;TOMMY JEANS Damen Zip-Off Cargo Hose Faded Willow Gr. S Nylon;TOMMY JEANS;ops.product_id;yes;yes
499992301;SKU-1665721376;7 O’Clock Glas-Set;7 O’Clock;9504579178456;SKU-1665721376;7 O’Clock Glas-Set;7 O’Clock;ops.product_id;yes;yes
