root,leaf,group_count,max_parent_similarity,category_id,breadcrumb,parent_context
Beauty & Gesundheit,Körperpflege,2,0.667,6406660,Beauty & Gesundheit > Körperpflege,Beauty & Gesundheit
Kleidung & Accessoires,Daunenjacken,2,0.6,6407303,Kleidung & Accessoires > Damenmode > Jacken & Mäntel > Daunenjacken,Kleidung & Accessoires > Damenmode > Jacken & Mäntel
Kleidung & Accessoires,Daunenjacken,2,0.6,6488469,Kleidung & Accessoires > Jacken > Daunenjacken,Kleidung & Accessoires > Jacken
Kleidung & Accessoires,Jeansjacken,2,0.6,6488368,Kleidung & Accessoires > Herrenmode > Jacken & Mäntel > Jeansjacken,Kleidung & Accessoires > Herrenmode > Jacken & Mäntel
Kleidung & Accessoires,Jeansjacken,2,0.6,6488388,Kleidung & Accessoires > Jacken > Jeansjacken,Kleidung & Accessoires > Jacken
Kleidung & Accessoires,Langarmshirts,2,0.6,6488471,Kleidung & Accessoires > Herrenmode > Shirts & Hemden > Langarmshirts,Kleidung & Accessoires > Herrenmode > Shirts & Hemden
Kleidung & Accessoires,Langarmshirts,2,0.6,6488445,Kleidung & Accessoires > Shirts > Langarmshirts,Kleidung & Accessoires > Shirts
Heimwerker,Waschtischarmaturen,2,0.6,6407272,Heimwerker > Bad & Küche > Armaturen > Waschtischarmaturen,Heimwerker > Bad & Küche > Armaturen
Heimwerker,Waschtischarmaturen,2,0.6,6407276,Heimwerker > Bad & Küche > Badarmaturen > Waschtischarmaturen,Heimwerker > Bad & Küche > Badarmaturen
Haus & Garten,Duschschläuche,2,0.571,6407521,Haus & Garten > Bad & Küche > Bad > Duschen & Duschzubehör > Duschschläuche,Haus & Garten > Bad & Küche > Bad > Duschen & Duschzubehör
Haus & Garten,Duschschläuche,2,0.571,6407250,Haus & Garten > Badezimmer > Duschen & Duschzubehör > Duschschläuche,Haus & Garten > Badezimmer > Duschen & Duschzubehör
Kleidung & Accessoires,BHs,2,0.5,6407305,Kleidung & Accessoires > Damenmode > Unterwäsche & Nachtwäsche > BHs,Kleidung & Accessoires > Damenmode > Unterwäsche & Nachtwäsche
Kleidung & Accessoires,BHs,2,0.5,6488458,Kleidung & Accessoires > Unterwäsche & Dessous > BHs,Kleidung & Accessoires > Unterwäsche & Dessous
Kleidung & Accessoires,Blazer,2,0.5,6488456,Kleidung & Accessoires > Businesskleidungen > Blazer,Kleidung & Accessoires > Businesskleidungen
Kleidung & Accessoires,Blazer,2,0.5,6488172,Kleidung & Accessoires > Damenbekleidung > Blazer,Kleidung & Accessoires > Damenbekleidung
Küche & Haushalt,Gläser,2,0.5,6406965,Küche & Haushalt > Geschirr & Besteck > Gläser,Küche & Haushalt > Geschirr & Besteck
Küche & Haushalt,Gläser,2,0.5,6406968,Küche & Haushalt > Gläser,Küche & Haushalt
Kleidung & Accessoires,Gürtel,2,0.5,6418475,Kleidung & Accessoires > Damen-Accessoires > Gürtel,Kleidung & Accessoires > Damen-Accessoires
Kleidung & Accessoires,Gürtel,2,0.5,6406953,Kleidung & Accessoires > Herren-Accessoires > Gürtel,Kleidung & Accessoires > Herren-Accessoires
Kleidung & Accessoires,Kostüme & Verkleidungen,2,0.5,6407324,Kleidung & Accessoires > Kostüme & Verkleidungen,Kleidung & Accessoires
Kleidung & Accessoires,Kostüme & Verkleidungen,2,0.5,6407541,Kleidung & Accessoires > Spezielle Anlässe > Kostüme & Verkleidungen,Kleidung & Accessoires > Spezielle Anlässe
Kleidung & Accessoires,Unterwäsche & Nachtwäsche,2,0.5,6488296,Kleidung & Accessoires > Damen > Unterwäsche & Nachtwäsche,Kleidung & Accessoires > Damen
Kleidung & Accessoires,Unterwäsche & Nachtwäsche,2,0.5,6407304,Kleidung & Accessoires > Damenmode > Unterwäsche & Nachtwäsche,Kleidung & Accessoires > Damenmode
Kleidung & Accessoires,Slips,2,0.429,6488294,Kleidung & Accessoires > Damenmode > Unterwäsche & Nachtwäsche > Slips,Kleidung & Accessoires > Damenmode > Unterwäsche & Nachtwäsche
Kleidung & Accessoires,Slips,2,0.429,6488435,Kleidung & Accessoires > Unterwäsche & Dessous > Unterhosen > Slips,Kleidung & Accessoires > Unterwäsche & Dessous > Unterhosen
Haus & Garten,Duschen & Duschzubehör,2,0.4,6407520,Haus & Garten > Bad & Küche > Bad > Duschen & Duschzubehör,Haus & Garten > Bad & Küche > Bad
Haus & Garten,Duschen & Duschzubehör,2,0.4,6407249,Haus & Garten > Badezimmer > Duschen & Duschzubehör,Haus & Garten > Badezimmer
Baby & Kind,Kinderwagen & Zubehör,2,0.4,6467462,Baby & Kind > Babyartikel > Kinderwagen & Babytragen > Kinderwagen & Zubehör,Baby & Kind > Babyartikel > Kinderwagen & Babytragen
Baby & Kind,Kinderwagen & Zubehör,2,0.4,6488165,Baby & Kind > Kinderwagen & Zubehör,Baby & Kind
Kleidung & Accessoires,Pullover,2,0.4,6407301,Kleidung & Accessoires > Damenbekleidung > Pullover & Strickjacken > Pullover,Kleidung & Accessoires > Damenbekleidung > Pullover & Strickjacken
Kleidung & Accessoires,Pullover,2,0.4,6488432,Kleidung & Accessoires > Pullover,Kleidung & Accessoires
Kleidung & Accessoires,Sneaker,2,0.333,6407294,Kleidung & Accessoires > Damen > Damenschuhe > Sneaker,Kleidung & Accessoires > Damen > Damenschuhe
Kleidung & Accessoires,Sneaker,2,0.333,6407315,Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker,Kleidung & Accessoires > Herren > Herrenschuhe
Kleidung & Accessoires,Geldbörsen & Etuis,2,0.286,6407308,Kleidung & Accessoires > Herren > Herren-Accessoires > Geldbörsen & Etuis,Kleidung & Accessoires > Herren > Herren-Accessoires
Kleidung & Accessoires,Geldbörsen & Etuis,2,0.286,6407546,Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Accessoires > Geldbörsen & Etuis,Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Accessoires
Kleidung & Accessoires,Pullover & Strickjacken,2,0.25,6407300,Kleidung & Accessoires > Damenbekleidung > Pullover & Strickjacken,Kleidung & Accessoires > Damenbekleidung
Kleidung & Accessoires,Pullover & Strickjacken,2,0.25,6407549,Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Mode für Herren > Pullover & Strickjacken,Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Mode für Herren
Sport,Rucksäcke,2,0.2,6407436,Sport > Camping & Outdoor > Rucksäcke,Sport > Camping & Outdoor
Sport,Rucksäcke,2,0.2,6407080,Sport > Sporttaschen & Rucksäcke > Rucksäcke,Sport > Sporttaschen & Rucksäcke
Sport,Sonstige,2,0.167,6407478,Sport > Weitere Ballsportarten > Tennis > Sonstige,Sport > Weitere Ballsportarten > Tennis
Sport,Sonstige,2,0.167,6407485,Sport > Weiterer Wassersport > Kitesurfen > Sonstige,Sport > Weiterer Wassersport > Kitesurfen
Auto & Motorrad,Außenspiegel,2,0.143,6488236,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur > Außenspiegel,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur
