category_id,breadcrumb,ebay_category_id
6556216,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Lenkung,180494
6556217,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Motoren,180489
6556218,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Räder, Reifen & Naben",180495
6556219,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Radlager,180484
6556222,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Sitze & Zubehör,180493
6556224,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Sonstige,180496
6556225,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Zünd- & Glühanlagen,180492
6551528,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung,133208
6556227,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Armaturenbretter,180476
6556228,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Armlehnen,180475
6556229,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Designschalter,72218
6556231,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Designspiegel,180481
6556232,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Einstiegsleisten & Türrahmen,72221
6556233,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Fensterkurbeln,72952
6556235,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Handbrems- & Schaltumrandung,72226
6556236,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Handbremshebel,72951
6556237,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Handbremshebelmanschetten,180478
6556239,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Hupen,180479
6556240,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Instrumente & Tachoscheiben,180474
6556241,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Lenkradbezüge,180482
6556242,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Lenkräder & Naben komplett,40195
6556243,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Messgeräte & Anzeige,133210
6556244,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Schalthebel & -knäufe,72223
6556245,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Schaltmanschetten,180477
6556246,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sitz-Hilfsrahmen & Teile,180473
6556247,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sitzbezüge,180472
6556248,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sonstige,107064
6556249,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sportgurte & Polster,72228
6556250,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sportsitze,133209
6556251,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Trittbretter, Pedalen, Leisten",40197
6556252,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Türpinsschlösser & -griffe,72220
6556253,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Zigarettenanzünder,180480
6551529,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling,107060
6556254,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Aufkleber & Embleme,72211
6556255,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Außenspiegelkappen,180369
6556257,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Autofolien,180365
6556258,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Designantennen,36676
6556261,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Einarmwischer,180368
6556262,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Frontgrills & Renngitter,43118
6556263,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Haubenbras & Schutzteile,52637
6556264,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Heckspoiler & -flügel,72209
6556266,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Karosserie-Kits,72207
6556267,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Kennzeichenhalterungen,180363
6556268,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Motorhauben,180358
6556269,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Radläufe,180366
6556270,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Scheinwerferblenden & -gitter,72239
6556271,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Seitenschweller,72208
6556272,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Sonnenblendstreifen,180364
6556273,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Sonstige,43117
6556275,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Stoßfängerabdeckungen,180359
6556276,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Stoßstangen,72206
6556277,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Tankdeckel,180361
6556278,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Tönungsfolien,72232
6556279,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Türen,138858
6556280,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Türschutzleisten,180360
6556281,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Wind- & Regenabweiser,180367
6556282,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Zierstreifen,180362
6551530,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung,133196
6556283,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Benzindruckregler,133198
6556284,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Brennstoffzelle,175568
6556285,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Drosselklappen,180463
6556286,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Einspritzpumpen,180458
6556287,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Kraftstofffilter,180457
6556288,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Kraftstoffpumpen,180459
6556289,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Kraftstofftank,180461
6556290,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Kraftstoffzuteiler,180460
6556291,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Leitungen, Röhre & Schläuche",133199
6556292,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Rückschlagventile,180462
6556293,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Schlingertöpfe,180464
6556294,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Sonstige,133200
6556295,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Sport-Vergaser,133205
6551531,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung,180376
6556296,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Ausgleichsbehälter,180379
6556297,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Kühlereinfüllstutzen &-Deckel,180382
6556298,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Kühlwasserschläuche & Schellen,180380
6556299,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Lüfter & Lüftersets,180378
6556300,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Ölkühler,180381
6556301,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Sonstige,180385
6556302,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Thermostate & Steuerungen,180377
6556306,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Wasserkühler,180383
6556309,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Wasserpumpen,180384
6551532,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten,180425
6556310,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Angel Eyes/Standlichtringe,180426
6556311,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Blinker,180429
6556313,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Bremsleuchte,180427
6556314,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Frontscheinwerfer,57308
6556315,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > HID Sets,174116
6556316,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Innenraumbeleuchtungen,72236
6556317,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Kennzeichenleuchten,180431
6556318,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Lampen & LEDs,65216
6556319,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Linsen, Tönungen & Folien",180430
6556320,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Rück- & Bremsleuchten,57322
6556321,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Scheinwerfer,180432
6556322,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Seitenbegrenzungsleuchten,57316
6556323,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Sonstige,28646
6556324,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Stroboskope,180433
6556325,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Tagfahrlichter,180428
6556326,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Unterbodenleuchten,48445
6551533,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung,133201
6556328,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Bypass- & Ablassventile,180467
6556329,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Hitzeschilder & Schutz,180468
6556330,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Kompressoren,133202
6556331,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Lachgasflaschen,133203
6556332,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Ladedruckanzeiger,180466
6556333,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Ladeluftkühler,180465
6556334,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Leitungen, Röhre & Schläuche",180469
6556335,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Luftversorgungsätze,180470
6556338,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Luftversorgungsysteme,133206
6556339,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Sonstige,133207
6556340,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Sport-Ansaugbrücken,133204
6556342,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Sportluftfilter,44187
6556343,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Tuning Airboxes,180471
6556344,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Turbolader,175569
6551534,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sonstige,107066
6551535,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe,173653
6556345,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Abgaskrümmer,180441
6556346,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Auspuffdichtungen,180440
6556347,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Endrohre & Endstücke,57344
6556348,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Hitzeschilder, Hüllen, Muffen",180437
6556349,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Katalysatoren,180434
6556350,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Komplette Auspuffanlagen,180436
6556351,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Schalldämpfer,180442
6556353,"Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Schellen, Klemmen & Flansche",180435
6556354,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Sonstige,173667
6556355,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Vorderrohre,180439
6556356,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Zwischenrohre,180438
6551536,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile,180370
6556357,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Bremskit,180371
6556358,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Bremssattelabdeckungen,180372
6556359,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Bremssattellack,180373
6556360,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Hauptbremszylinder,175546
6556361,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Leitungen & Schläuche,180374
6556362,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Sonstige,180375
6556364,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Sport-Bremsbeläge,175549
6556365,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Sport-Bremssättel,175547
6556366,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Sport-Bremsscheiben,175548
6556367,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Sport-Bremsschläuche,175552
6551537,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe,133187
6556368,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Achsträger & Teile,180401
6556369,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen,180407
6556370,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Differentialgetriebe,180406
6556371,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Getriebekasten,180400
6556372,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Kugellager,180402
6556373,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Kupplungsscheiben,180405
