category_id,breadcrumb
6558956,Computer > Computer-Komponenten & -Teile > Notebook-Ersatzteile > Notebook-Displays/LCD-Displays
6558957,Computer > Computer-Komponenten & -Teile > Notebook-Ersatzteile > Notebook-Gehäuse & -Touchpads
6558958,Computer > Computer-Komponenten & -Teile > Notebook-Ersatzteile > Notebook-Tastaturen
6558959,Computer > Computer-Komponenten & -Teile > Notebook-Ersatzteile > Sonstige
6552469,Computer > Computer-Komponenten & -Teile > Schnittstellen-/Steckkarten
6558960,Computer > Computer-Komponenten & -Teile > Schnittstellen-/Steckkarten > Festplatten- & RAID-Controller
6558961,Computer > Computer-Komponenten & -Teile > Schnittstellen-/Steckkarten > Modemkarten
6558962,Computer > Computer-Komponenten & -Teile > Schnittstellen-/Steckkarten > Netzwerkkarten
6558963,Computer > Computer-Komponenten & -Teile > Schnittstellen-/Steckkarten > Port-Erweiterungskarten
6558964,Computer > Computer-Komponenten & -Teile > Schnittstellen-/Steckkarten > Sonstige
6552470,Computer > Computer-Komponenten & -Teile > Sonstige
6552471,Computer > Computer-Komponenten & -Teile > Videoaufnahme & TV-Karten
6551202,Computer > Desktops & All-in-One-PCs
6552472,Computer > Desktops & All-in-One-PCs > Apple Desktops & All-in-Ones
6552473,Computer > Desktops & All-in-One-PCs > PC Desktops & All-in-Ones
6552474,Computer > Desktops & All-in-One-PCs > PC Notebooks & Netbooks
6551203,"Computer > Drucker, Scanner & Zubehör"
6552475,"Computer > Drucker, Scanner & Zubehör > Drucker"
6552476,"Computer > Drucker, Scanner & Zubehör > Scanner"
6552477,"Computer > Drucker, Scanner & Zubehör > Sonstige"
6552478,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör"
6558965,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör > Drucker-Duplexeinheiten"
6558966,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör > Druckerspeicher"
6558967,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör > Druckköpfe"
6558968,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör > Einzüge & Kassetten"
6558969,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör > Fixiereinheiten"
6558970,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör > Laser-Trommeln"
6558971,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör > Netzteile"
6558972,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör > Reinigungs- & Reparaturkits"
6558973,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör > Scanner-Teile"
6558974,"Computer > Drucker, Scanner & Zubehör > Teile & Zubehör > Sonstige"
6552479,"Computer > Drucker, Scanner & Zubehör > Tinte, Toner & Papier"
6558975,"Computer > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Drucker-Fotopapier"
6558976,"Computer > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Druckerpapier"
6558977,"Computer > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Farbbänder"
6558978,"Computer > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Leere Tintenpatronen"
6558979,"Computer > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Nachfülltinte & Sets"
6558980,"Computer > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Nachfülltoner & Sets"
6558981,"Computer > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Sonstige"
6558982,"Computer > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Tintenpatronen"
6558983,"Computer > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Tonerkassetten"
6551204,Computer > Firmennetzwerke & Server
6552480,Computer > Firmennetzwerke & Server > CSUs/DSUs
6552481,Computer > Firmennetzwerke & Server > Firewall- & VPN-Geräte
6552482,Computer > Firmennetzwerke & Server > Firmen-Router
6552483,Computer > Firmennetzwerke & Server > Komponenten für Firmen-Router
6558984,Computer > Firmennetzwerke & Server > Komponenten für Firmen-Router > Router-Module/-Karten/-Adapter
6558985,Computer > Firmennetzwerke & Server > Komponenten für Firmen-Router > Router-Netzteile
6558986,Computer > Firmennetzwerke & Server > Komponenten für Firmen-Router > Routerspeicher
6558987,Computer > Firmennetzwerke & Server > Komponenten für Firmen-Router > Sonstige
6552484,Computer > Firmennetzwerke & Server > Load Balancer
6552485,Computer > Firmennetzwerke & Server > Netzwerkspeicher-Disk-Arrays
6558988,Computer > Firmennetzwerke & Server > Netzwerkspeicher-Disk-Arrays > Disk-Array-Komponenten
6558989,Computer > Firmennetzwerke & Server > Netzwerkspeicher-Disk-Arrays > NAS-Disk-Arrays
6558990,Computer > Firmennetzwerke & Server > Netzwerkspeicher-Disk-Arrays > SAN-Disk-Arrays
6558991,Computer > Firmennetzwerke & Server > Netzwerkspeicher-Disk-Arrays > Sonstige
6552486,"Computer > Firmennetzwerke & Server > Racks, Rahmen & Patchpanels"
6558992,"Computer > Firmennetzwerke & Server > Racks, Rahmen & Patchpanels > Patchpanels"
6558993,"Computer > Firmennetzwerke & Server > Racks, Rahmen & Patchpanels > Rackmontage-Gehäuse & -Rahmen"
6558994,"Computer > Firmennetzwerke & Server > Racks, Rahmen & Patchpanels > Rackmontage-Schränke & -Rahmen"
6558995,"Computer > Firmennetzwerke & Server > Racks, Rahmen & Patchpanels > Sonstige"
6552487,Computer > Firmennetzwerke & Server > Richtantennen
6552488,Computer > Firmennetzwerke & Server > Server-Komponenten
6558996,Computer > Firmennetzwerke & Server > Server-Komponenten > Festplatten- & RAID-Controller
6558997,Computer > Firmennetzwerke & Server > Server-Komponenten > Server-Boards
6558998,Computer > Firmennetzwerke & Server > Server-Komponenten > Server-CPUs/-Prozessoren
6558999,Computer > Firmennetzwerke & Server > Server-Komponenten > Server-Lüfter & -Kühlsysteme
6559000,Computer > Firmennetzwerke & Server > Server-Komponenten > Server-Netzteile
6559001,Computer > Firmennetzwerke & Server > Server-Komponenten > Server-Speicher (RAM)
6559002,Computer > Firmennetzwerke & Server > Server-Komponenten > Sonstige
6552489,"Computer > Firmennetzwerke & Server > Server, Clients & Terminals"
6559003,"Computer > Firmennetzwerke & Server > Server, Clients & Terminals > Computerserver"
6559004,"Computer > Firmennetzwerke & Server > Server, Clients & Terminals > Druckserver"
6559005,"Computer > Firmennetzwerke & Server > Server, Clients & Terminals > Server-Befestigungsmaterial"
6559006,"Computer > Firmennetzwerke & Server > Server, Clients & Terminals > Server-Kabel & -Adapter"
6559007,"Computer > Firmennetzwerke & Server > Server, Clients & Terminals > Serverrahmen"
6559008,"Computer > Firmennetzwerke & Server > Server, Clients & Terminals > Sonstige"
6559009,"Computer > Firmennetzwerke & Server > Server, Clients & Terminals > Terminalserver"
6559010,"Computer > Firmennetzwerke & Server > Server, Clients & Terminals > Thin Clients"
6552490,Computer > Firmennetzwerke & Server > Sonstige
6552491,Computer > Firmennetzwerke & Server > Switches & Hubs
6559011,Computer > Firmennetzwerke & Server > Switches & Hubs > Netzwerk-Hubs
6559012,Computer > Firmennetzwerke & Server > Switches & Hubs > Netzwerk-Switches
6559013,Computer > Firmennetzwerke & Server > Switches & Hubs > Sonstige
