id;auftrag_id;carrier;tracking;status;erstellt_am
g7eV9Q5hfobcUc58pgcC;ebay__21-14649-90508;dpd;01596815538054;cancelled;2026-06-09T13:30:22.949Z
g7fguxdHUknAHOWSozqA;29691986;dpd;01596817969159;Delivered;2026-03-10T01:06:27.964Z
gAszx8Pgk9tjM31fnG7W;ebay__06-14737-83026;dpd;01596815339121;Delivered;2026-06-05T13:24:55.178Z
gD8TM67rGKJIhQzGLCws;30481325;dpd;01596818593899;Delivered;2026-03-10T01:05:41.289Z
gKRl9TymNaosLLht1K6I;kaufland__MWYHBB5;dp;A0062B01C500000004B9;Delivered;2026-04-30T11:55:58.797Z
gWmog9rlylOuxiLFUSDT;ebay__17-14768-30723;dp;A0062B01C50000000C68;Delivered;2026-06-17T08:06:21.653Z
gcxJbZVWYzQ2VDwR6WTu;ebay__13-14782-13602;dhl;00340433917162400498;cancelled;2026-06-22T09:10:26.281Z
geWVLkd0ayHRCHLqlflE;ebay__17-14697-49433;dhl_de;00340434887954500936;Delivered;2026-06-01T11:37:15.088Z
ggAglSWuQnbZJhd4UCMG;31400743;dpd;01596819243112;Delivered;2026-03-10T01:04:36.192Z
gz83RS8334MbyG9LhwWI;ebay__07-14548-32580;dpd;01596813034297;Delivered;2026-04-23T15:15:50.785Z
h3fyd4oSRAYIXHFp5snP;ebay__19-14579-85455;dpd;01596813654723;Delivered;2026-05-05T11:21:20.956Z
h3x0c9Zt9xIsdERaLsLb;29933981;dpd;01596818134853;Delivered;2026-03-10T01:06:25.586Z
h4hRyxA6EUQC9Scj7s8d;30709123;dpd;01596818753351;Delivered;2026-03-10T01:05:36.570Z
hAAK5YQ8Lwp69vXKOY8m;kaufland__M3USL55;dp;A0062B01C500000001F3;Delivered;2026-04-22T11:47:19.607Z
hF2HfOucOyIaQvvI7YW3;kaufland__MTH9SWQ;DPD;01596818534087;zugestellt;2026-04-12T23:29:38.818Z
hHR4ldXQ5uoNBJLQ75mS;30360538;dpd;01596818443700;Delivered;2026-03-10T01:06:03.125Z
hHRVqpnDObTGJUx5LGLK;ebay__09-14620-30500;dhl_de;00340433917162400306;Delivered;2026-05-11T12:08:36.593Z
hHWKArx0GGVwXhCLOJVL;ebay__04-14596-97779;dhl_de;00340433917162400214;ausstehend;2026-05-04T10:02:24.446Z
hJHJcSBGJ2PXzScL6BeK;31060643;dpd;01596819009965;Delivered;2026-03-10T01:04:42.461Z
hMmbiFQrKcJq0pawYeKv;ebay__06-14745-12222;dpd;01596815436012;Delivered;2026-06-08T10:28:10.739Z
hN11WiKc4cTmN1G5iy5D;kaufland__M9S1G55;dpd;01596813021152;Delivered;2026-04-23T11:32:39.730Z
hPIDMJqRpMoNcH524kl3;kaufland__MQSZBQ5;dpd;01596812283409;Delivered;2026-04-11T11:55:07.979Z
hUOUNxG3IgoBGVkpyume;30601595;dpd;01596818670447;Delivered;2026-03-10T01:05:39.132Z
hYQ4I9V1nKH5nmAVsFkm;kaufland__MTXQS95;dpd;01596811925721;Delivered;2026-04-03T11:26:11.960Z
hYolOP3TGi4OWKNC0U0b;30766240;dpd;01596818854283;Delivered;2026-03-10T01:05:03.619Z
hbVQyV6pCWu5Pdzt9PQ9;ebay__12-14774-11396;dp;A0062B01C50000000C5D;Delivered;2026-06-16T11:16:40.040Z
hnNjjTa00FMTLgyrsNaQ;ebay__25-14461-79502;dpd;01596812271467;ausstehend;2026-04-10T12:35:27.685Z
ho4DSFikPkK0mOCTkCwD;ebay__25-14579-69735;DHL;;cancelled;2026-05-07T13:28:04.762Z
hptl2gXTbAEIZXKYOgUC;29878631;dpd;01596818080186;Delivered;2026-03-10T01:06:26.242Z
i06fXXw5PNlOSSzxIoxX;ebay__21-14672-41517;dp;A0062B01C500000009D4;Delivered;2026-05-28T09:04:17.039Z
i7mu4QejvGo60yduQyvz;kaufland__MYLP3C5;dp;A0062B01C50000000843;Delivered;2026-05-08T12:58:18.721Z
i7rm5PRVKmbQOu7tYVkn;Xq87IO7qom7uqxGEv9Xf;DHL;00340434887954500462;Delivered;2026-03-17T15:53:22.413Z
iAtBmxpZTNZIv6425kvU;31946325;dhl_de;00340434887954500110;Delivered;2026-03-10T01:03:42.657Z
iEbbuaWUmNYgpsPuQYDk;32514441;dpd;01596810114863;Delivered;2026-03-10T01:03:37.227Z
iHHql2y3k7iPY4VRRuzQ;31135539;dpd;01596819148117;Delivered;2026-03-10T01:04:41.062Z
iYhdbw56zqSeVQdAd1tA;ebay__26-14571-78852;dpd;01596813748106;Delivered;2026-05-06T13:22:16.329Z
ibKrSY7NT0K1Zr2fEkDT;30785701;dpd;01596818854185;Delivered;2026-03-10T01:05:03.810Z
idAI4ZhrnFlocZTyPOcp;ebay__02-14723-04539;dpd;01596815097538;Delivered;2026-06-01T12:06:02.967Z
ieRrNfw3nBtwpZyjblN8;MmkVzCpsBIIwf0kDAeMu;DHL;00340434887954500424;ausstehend;2026-03-17T15:53:22.824Z
ii3URxhfi7a00zTNpitn;kaufland__MDXK1U5;dpd;01596814898346;Delivered;2026-05-28T09:39:22.824Z
ir9ETb4Y5n6ZquqrUNu4;ebay__19-14677-21353;dpd;01596814896450;Delivered;2026-05-28T09:29:32.604Z
iu0aUBBYJG7ChpYnos7Y;ebay__26-14695-59716;dpd;01596815257869;Delivered;2026-06-03T14:49:57.518Z
iwy2hY6xYqZX8eRn0XKq;ebay__08-14484-24624;dpd;01596812268694;ausstehend;2026-04-10T11:45:32.416Z
j3MbQAP2UCSLPHBLhCi7;ebay__27-14466-89155;DHL;;problem;2026-04-13T11:46:04.217Z
j74OCnywlkNa8KhFoF3A;30749410;dpd;01596818754037;Delivered;2026-03-10T01:05:28.001Z
