id;auftrag_id;marktplatz;status;grund;erstattung;erstellt_am;aktualisiert_am
UZdde0Q45O9Qxmsq5R6A;31925922;kaufland;eingegangen;sonstiges;29,00;2026-02-25T09:49:33Z;
VcKovgqWogYvmpnM9UWT;32579643;ebay;eingegangen;sonstiges;29,34;2026-03-03T15:40:55.000Z;
Y0NDGYYnjqAkznTto5sB;32237097;kaufland;eingegangen;nicht_wie_beschrieben;187,98;2026-03-02T09:16:15Z;
Z1qCcheYtwHk6PyuHzrx;32119643;kaufland;eingegangen;sonstiges;60,76;2026-02-28T09:57:06Z;
ZdvMh9OAjdp1Qu8KArVa;29529410;ebay;eingegangen;meinungsaenderung;38,50;2026-01-21T00:46:06.000Z;
aKmOTjjyfgXcULxoBNpI;30818568;ebay;eingegangen;meinungsaenderung;70,00;2026-02-09T16:40:29.000Z;
cdkRqWbfUAzMCJyVRKtL;30364313;ebay;eingegangen;meinungsaenderung;50,00;2026-02-02T13:31:06.000Z;
dd8cWi7uY90lYODhDJxv;;ebay;eingegangen;sonstiges;40,49;2026-01-02T19:44:46.000Z;
dq5Eq8HzqwwgFb6Jwzvg;30700608;ebay;eingegangen;sonstiges;100,00;2026-02-06T21:22:32.000Z;
ebay__01-14441-33745;ebay__01-14441-33745;ebay;eingegangen;meinungsaenderung;9,99;2026-03-28T19:55:07.000Z;
ebay__02-14480-35562;ebay__02-14480-35562;ebay;eingegangen;meinungsaenderung;229,00;2026-04-06T22:59:31.000Z;
ebay__02-14595-36651;ebay__02-14595-36651;ebay;eingegangen;meinungsaenderung;19,99;2026-05-02T14:59:18.000Z;
ebay__03-14359-84101;nsqMaPeiVdgyEZtOaS1s;ebay;eingegangen;meinungsaenderung;55,39;2026-03-11T11:12:20.000Z;
ebay__03-14523-58106;ebay__03-14523-58106;ebay;eingegangen;meinungsaenderung;4,99;2026-04-16T18:28:57.000Z;
ebay__04-14462-28169;ebay__04-14462-28169;ebay;eingegangen;meinungsaenderung;32,89;2026-04-03T14:33:25.000Z;
ebay__04-14492-32078;ebay__04-14492-32078;ebay;eingegangen;meinungsaenderung;159,95;2026-04-10T07:01:40.000Z;
ebay__04-14599-74033;ebay__04-14599-74033;ebay;eingegangen;meinungsaenderung;32,90;2026-05-04T09:31:15.000Z;
ebay__06-14536-84085;ebay__06-14536-84085;ebay;eingegangen;meinungsaenderung;24,95;2026-04-20T17:39:30.000Z;
ebay__06-14594-58014;ebay__06-14594-58014;ebay;eingegangen;meinungsaenderung;22,00;2026-05-03T20:47:03.000Z;
ebay__07-14622-46378;ebay__07-14622-46378;ebay;eingegangen;meinungsaenderung;17,00;2026-05-10T12:09:26.000Z;
